	"nc"	"raleigh"	FALSE
	"pa"	"reading"	FALSE
	"ca"	"redding"	FALSE
	"nv"	"reno"	FALSE
	"va"	"richmond"	FALSE
	"ca"	"riverside"	FALSE
	"va"	"roanoke"	FALSE
"~"	"mn"	"rochester"	FALSE
"~"	"ny"	"rochester"	TRUE
	"sc"	"rock-hill"	FALSE
	"il"	"rockford"	FALSE
	"ar"	"rogers"	FALSE
	"il"	"round-lake-beach"	FALSE
	"pr"	"sabana-grande"	FALSE
	"ca"	"sacramento"	FALSE
	"mi"	"saginaw"	FALSE
"~"	"nc"	"salem"	FALSE
"~"	"or"	"salem"	TRUE
	"ca"	"salinas"	FALSE
	"ut"	"salt-lake-city"	FALSE
	"tx"	"san-antonio"	FALSE
	"ca"	"san-bernardino"	FALSE
	"ca"	"san-clemente"	FALSE
	"ca"	"san-diego"	FALSE
	"ca"	"san-francisco"	FALSE
	"pr"	"san-german"	FALSE
	"ca"	"san-jose"	FALSE
	"pr"	"san-juan"	FALSE
	"pr"	"san-sebastian"	FALSE
	"ca"	"santa-barbara"	FALSE
	"ca"	"santa-clarita"	FALSE
	"ca"	"santa-cruz"	FALSE
	"ca"	"santa-maria"	FALSE
	"ca"	"santa-rosa"	FALSE
	"fl"	"sarasota"	FALSE
	"ga"	"savannah"	FALSE
	"ny"	"schenectady"	FALSE
	"pa"	"scranton"	FALSE
	"ca"	"seaside"	FALSE
	"wa"	"seattle"	FALSE
	"fl"	"sebastian"	FALSE
	"la"	"shreveport"	FALSE
	"ca"	"simi-valley"	FALSE
	"sc"	"simpsonville"	FALSE
	"ia"	"sioux-city"	FALSE
	"sd"	"sioux-falls"	FALSE
	"sc"	"socastee"	FALSE
	"in"	"south-bend"	FALSE
	"mi"	"south-lyon"	FALSE
	"sc"	"spartanburg"	FALSE
	"wa"	"spokane"	FALSE
	"fl"	"spring-hill"	FALSE
	"ar"	"springdale"	FALSE
"~"	"il"	"springfield"	FALSE
"~"	"ma"	"springfield"	TRUE
"~"	"mo"	"springfield"	TRUE
	"mn"	"st-cloud"	FALSE
	"mo"	"st-louis"	FALSE
	"mn"	"st-paul"	FALSE
	"fl"	"st-petersburg"	FALSE
